TradingSymbol,BuyQty,BuyAvgPrice,SellQty,SellAvgPrice,NetQty,NetValue,LastTrade,MarkToMarket,BEP,Square Off,RealizedM,Unrealized,Indicator,Actual Buy Price,Actual Sell Price,Actual Buy,Actual Sell,Actual Mark,Actual Realized
NIFTY 08MAY2025 PE 24450,3600,83.52,3600,55.21,0,-101891.25,68.25,-101891.25,0.00,Excluded,-101891.25,0.00,N,83.52,55.21,300656.25,198765.00,-101891.25,-101891.25
NIFTY 08MAY2025 CE 24500,5250,0.20,5250,12.42,0,64158.75,4.25,64158.75,0.00,Excluded,64158.75,0.00,N,0.20,12.42,1050.00,65208.75,64158.75,64158.75
NIFTY 08MAY2025 CE 24300,2400,11.58,2400,35.03,0,56302.50,0.20,56302.50,0.00,Excluded,56302.50,0.00,N,11.58,35.03,27780.00,84082.50,56302.50,56302.50
NIFTY 08MAY2025 PE 24300,12000,5.93,12000,5.39,0,-6498.75,21.40,-6498.75,0.00,Excluded,-6498.75,0.00,N,5.93,5.39,71178.75,64680.00,-6498.75,-6498.75
NIFTY 08MAY2025 PE 23550,19800,0.66,19800,0.10,0,-11130.00,0.10,-11130.00,0.00,Excluded,-11130.00,0.00,N,0.66,0.10,13110.00,1980.00,-11130.00,-11130.00
NIFTY 08MAY2025 CE 24550,4800,0.70,4800,0.15,0,-2640.00,0.05,-2640.00,0.00,Excluded,-2640.00,0.00,N,0.70,0.15,3360.00,720.00,-2640.00,-2640.00
NIFTY 08MAY2025 CE 24650,15000,0.63,15000,0.10,0,-7875.00,0.05,-7875.00,0.00,Excluded,-7875.00,0.00,N,0.63,0.10,9375.00,1500.00,-7875.00,-7875.00
NIFTY 08MAY2025 PE 24250,4800,7.95,4800,6.04,0,-9180.00,0.65,-9180.00,0.00,Excluded,-9180.00,0.00,N,7.95,6.04,38160.00,28980.00,-9180.00,-9180.00
NIFTY 08MAY2025 CE 24350,8400,1.79,8400,6.79,0,41940.00,0.10,41940.00,0.00,Excluded,41940.00,0.00,N,1.79,6.79,15060.00,57000.00,41940.00,41940.00
NIFTY 08MAY2025 CE 24400,7500,0.15,7500,2.69,0,19050.00,0.05,19050.00,0.00,Excluded,19050.00,0.00,N,0.15,2.69,1125.00,20175.00,19050.00,19050.00
NIFTY 08MAY2025 PE 24350,33450,31.39,33450,19.62,0,-393742.50,5.15,-393742.50,0.00,Excluded,-393742.50,0.00,N,31.39,19.62,1050045.00,656302.50,-393742.50,-393742.50
NIFTY 08MAY2025 PE 24400,9750,40.69,9750,23.60,0,-166590.00,22.85,-166590.00,0.00,Excluded,-166590.00,0.00,N,40.69,23.60,396682.50,230092.50,-166590.00,-166590.00
NIFTY 08MAY2025 CE 24450,37350,0.20,37350,15.05,0,554523.75,5.50,554523.75,0.00,Excluded,554523.75,0.00,N,0.20,15.05,7470.00,561993.75,554523.75,554523.75
NA,164100.00,NA,164100.00,NA,0.00,36427.50,NA,36427.50,NA,NA,NA,NA,NA,NA,NA,1935052.50,1971480.00,36427.50,NA
