Account Id,IsInterOpP,Exchg,Seg,ProductTy,TradingSymbol,BuyQty,BuyAvgPrice,SellAvgPrice,NetQty,NetValue,LastTrade,MarkToMarket,NetValue,BEP,Square Off,RealizedM,Unrealized,Indicator,Actual Buy,Actual Sell
DTY149-8,False,NSEFO,NRML,NIFTY 22MAY2025 PE 24650,12675,118.94,12675,83.37,0,-450776.25,141.90,-450776.25,0.00,Excluded,-450776.25,0.00,N,118.94,83.37
DTY149-S,False,NSEFO,NRML,NIFTY 22MAY2025 CE 24650,42300,14.56,42300,34.98,0,863688.75,6.65,863688.75,0.00,Excluded,863688.75,0.00,N,14.56,34.98
DTY149-S,False,NSEFO,NRML,NIFTY 22MAY2025 CE 24700,35850,11.59,35850,42.33,0,1101870.00,4.75,1101870.00,0.00,Excluded,1101870.00,0.00,N,11.59,42.33
DTY149-8,False,NSEFO,NRML,NIFTY 22MAY2025 CE 24750,17850,7.96,17850,39.08,0,555431.25,3.40,555431.25,0.00,Excluded,555431.25,0.00,N,7.96,39.08
DTY149-S,False,NSEFO,NRML,NIFTY 22MAY2025 PE 24600,24675,54.16,24675,67.06,0,318236.25,95.60,318236.25,0.00,Excluded,318236.25,0.00,N,54.16,67.06
DTY149-S,False,NSEFO,NRML,NIFTY 22MAY2025 PE 24700,1875,165.82,1875,108.08,0,-108255.00,190.00,-108255.00,0.00,Excluded,-108255.00,0.00,N,165.82,108.08
DTY149-S,False,NSEFO,NRML,NIFTY 22MAY2025 PE 24550,42600,19.12,42600,38.98,0,846210.00,55.20,846210.00,0.00,Excluded,846210.00,0.00,N,19.12,38.98
