timestamp,tradingsymbol,order_price,quantity,type,pnl,realized_pnl
2025-08-08 09:15:00+05:30,NIFTY2581424350CE,296.45,1,SELL,296.45,0.0
2025-08-08 09:15:00+05:30,NIFTY2581424350PE,44.25,1,SELL,44.25,0.0
2025-08-08 09:15:00+05:30,NIFTY2581424400CE,257.45,1,SELL,257.45,0.0
2025-08-08 09:15:00+05:30,NIFTY2581424400PE,56.3,1,SELL,56.3,0.0
2025-08-08 09:15:00+05:30,NIFTY2581424300CE,338.0,1,SELL,338.0,0.0
2025-08-08 09:15:00+05:30,NIFTY2581424300PE,36.45,1,BUY,-36.45,260.0
2025-08-08 09:15:00+05:30,NIFTY2581424450CE,221.0,1,SELL,221.0,260.0
2025-08-08 09:15:00+05:30,NIFTY2581424450PE,69.15,1,SELL,69.15,260.0
2025-08-08 09:15:00+05:30,NIFTY2581424250CE,381.9,1,SELL,381.9,260.0
2025-08-08 09:15:00+05:30,NIFTY2581424250PE,29.05,1,BUY,-29.05,275.2
2025-08-08 09:15:00+05:30,NIFTY2581424500CE,189.0,1,SELL,189.0,275.2
2025-08-08 09:15:00+05:30,NIFTY2581424500PE,86.4,1,SELL,86.4,275.2
2025-08-08 09:15:00+05:30,NIFTY2581424200CE,427.4,1,BUY,-427.4,105.25
2025-08-08 09:15:00+05:30,NIFTY2581424200PE,23.55,1,BUY,-23.55,138.0
2025-08-08 09:15:00+05:30,NIFTY2581424550CE,157.15,1,SELL,157.15,138.0
2025-08-08 09:15:00+05:30,NIFTY2581424550PE,104.55,1,SELL,104.55,138.0
2025-08-08 09:15:00+05:30,NIFTY2581424150PE,19.15,1,BUY,-19.15,456.85
2025-08-08 09:15:00+05:30,NIFTY2581424600CE,130.3,1,SELL,130.3,456.85
2025-08-08 09:15:00+05:30,NIFTY2581424600PE,127.55,1,SELL,127.55,456.85
2025-08-08 09:15:00+05:30,NIFTY2581424100CE,514.5,1,BUY,-514.5,163.35000000000002
2025-08-08 09:15:00+05:30,NIFTY2581424100PE,15.95,1,BUY,-15.95,216.55
2025-08-08 09:15:00+05:30,NIFTY2581424650CE,105.75,1,SELL,105.75,216.55
2025-08-08 09:15:00+05:30,NIFTY2581424650PE,153.8,1,SELL,153.8,216.55
2025-08-08 09:15:00+05:30,NIFTY2581424050CE,577.65,1,BUY,-577.65,20.80000000000001
2025-08-08 09:15:00+05:30,NIFTY2581424050PE,13.4,1,BUY,-13.4,196.4
2025-08-08 09:15:00+05:30,NIFTY2581424700CE,85.7,1,SELL,85.7,196.4
2025-08-08 09:15:00+05:30,NIFTY2581424700PE,182.8,1,SELL,182.8,196.4
2025-08-08 09:15:00+05:30,NIFTY2581424000CE,616.65,1,BUY,-616.65,-333.85
2025-08-08 09:15:00+05:30,NIFTY2581424000PE,11.35,1,BUY,-11.35,-188.05
2025-08-08 09:15:00+05:30,NIFTY2581424750PE,215.75,1,SELL,215.75,-188.05
