timestamp,Call oi,Put oi,Inverse OI_ratio
2025-04-02 09:15:00+05:30,4196400,5208150,-0.8057371619481005
2025-04-02 09:16:00+05:30,5045400,6750075,-0.7474583615737603
2025-04-02 09:17:00+05:30,5407650,7093125,-0.7623790642347343
2025-04-02 09:18:00+05:30,5465925,7282125,-0.7505947783099026
2025-04-02 09:19:00+05:30,5467950,7380600,-0.7408544020811316
2025-04-02 09:20:00+05:30,5515200,7615725,-0.7241858129068474
2025-04-02 09:21:00+05:30,5589375,7684050,-0.7273996134850762
2025-04-02 09:22:00+05:30,5591400,7686525,-0.7274288446339535
2025-04-02 09:23:00+05:30,5591250,8066100,-0.6931788596719605
2025-04-02 09:24:00+05:30,5617050,8080500,-0.6951364395767589
2025-04-02 09:25:00+05:30,5618325,8091675,-0.6943339914171046
2025-04-02 09:26:00+05:30,5729400,8091075,-0.7081135695812979
2025-04-02 09:27:00+05:30,5786775,8168625,-0.708414818895469
2025-04-02 09:28:00+05:30,5803500,8318925,-0.6976261956923521
2025-04-02 09:29:00+05:30,5804475,8320875,-0.6975798819234756
2025-04-02 09:30:00+05:30,5812950,8330400,-0.6977996254681648
2025-04-02 09:31:00+05:30,5838600,8337675,-0.7002671608092184
2025-04-02 09:32:00+05:30,5839425,8338800,-0.7002716218160886
2025-04-02 09:33:00+05:30,5850300,8345400,-0.7010209217053707
2025-04-02 09:34:00+05:30,5853375,8398200,-0.6969797099378439
2025-04-02 09:35:00+05:30,5860125,8398275,-0.6977772221081114
2025-04-02 09:36:00+05:30,5868750,8401725,-0.6985172687751623
2025-04-02 09:37:00+05:30,5866650,8403375,-0.6981302155383997
2025-04-02 09:38:00+05:30,5866425,8403975,-0.6980535996358865
2025-04-02 09:39:00+05:30,5868975,8412525,-0.6976472581062166
2025-04-02 09:40:00+05:30,5876100,8415675,-0.6982327620779082
2025-04-02 09:41:00+05:30,5875200,8462325,-0.6942772819526548
2025-04-02 09:42:00+05:30,5889225,8464950,-0.6957188170042351
2025-04-02 09:43:00+05:30,5887425,8465100,-0.6954938512244392
2025-04-02 09:44:00+05:30,5876475,8452650,-0.6952227999503114
2025-04-02 09:45:00+05:30,5915475,8466000,-0.6987331679659816
