timestamp,Call oi,Put oi,Inverse OI_ratio
2025-04-04 09:15:00+05:30,5033325,6662550,-0.7554652497917465
2025-04-04 09:16:00+05:30,5723250,8442375,-0.6779194243326079
2025-04-04 09:17:00+05:30,5822175,8570175,-0.6793531053916635
2025-04-04 09:18:00+05:30,6193650,8644125,-0.7165155524706086
2025-04-04 09:19:00+05:30,6455625,8779125,-0.735338088932553
2025-04-04 09:20:00+05:30,6547800,8989050,-0.7284195771522018
2025-04-04 09:21:00+05:30,6516525,9079725,-0.7177007012877593
2025-04-04 09:22:00+05:30,6515250,9079350,-0.717589915577657
2025-04-04 09:23:00+05:30,6516000,9108750,-0.715356113627007
2025-04-04 09:24:00+05:30,6503775,9222750,-0.7051882572985281
2025-04-04 09:25:00+05:30,6503850,9225825,-0.704961344920373
2025-04-04 09:26:00+05:30,6498750,9225675,-0.7044200017884871
2025-04-04 09:27:00+05:30,6497925,9243075,-0.7030046818834641
2025-04-04 09:28:00+05:30,6494400,9243825,-0.7025663077784359
2025-04-04 09:29:00+05:30,6494250,9265275,-0.7009236099306281
2025-04-04 09:30:00+05:30,6488025,9278400,-0.6992611872736679
2025-04-04 09:31:00+05:30,6501825,9276450,-0.70089581682648
2025-04-04 09:32:00+05:30,6534825,9274725,-0.7045842329556941
2025-04-04 09:33:00+05:30,6566700,9297975,-0.706250554556234
2025-04-04 09:34:00+05:30,6573000,9295950,-0.7070821164055314
2025-04-04 09:35:00+05:30,6574800,9296925,-0.7072015747142201
2025-04-04 09:36:00+05:30,6547425,9303300,-0.7037744671245687
2025-04-04 09:37:00+05:30,6549225,9314325,-0.7031346876987865
2025-04-04 09:38:00+05:30,6550350,9313725,-0.7033007738579354
2025-04-04 09:39:00+05:30,6567975,9315750,-0.705039851863779
2025-04-04 09:40:00+05:30,6568050,9322350,-0.7045487457561667
2025-04-04 09:41:00+05:30,6566550,9323550,-0.7042971829399746
2025-04-04 09:42:00+05:30,6570825,9329325,-0.7043194443327894
2025-04-04 09:43:00+05:30,6570825,9329250,-0.7043251065198167
2025-04-04 09:44:00+05:30,6570750,9369150,-0.7013176221962505
2025-04-04 09:45:00+05:30,6585975,9381375,-0.70202662189711
2025-04-04 09:46:00+05:30,6587625,9382125,-0.7021463687597426
2025-04-04 09:47:00+05:30,6588825,9382050,-0.7022798855260843
2025-04-04 09:48:00+05:30,6596550,9402000,-0.7016113592852584
2025-04-04 09:49:00+05:30,6598575,9403425,-0.7017203837963295
2025-04-04 09:50:00+05:30,6602175,9405900,-0.7019184767007942
2025-04-04 09:51:00+05:30,6603975,9414900,-0.7014386769907275
2025-04-04 09:52:00+05:30,6604275,9414525,-0.7014984823982091
2025-04-04 09:53:00+05:30,6605250,9413025,-0.7017138486299569
2025-04-04 09:54:00+05:30,6630525,9446325,-0.7019158244079047
2025-04-04 09:55:00+05:30,6631575,9446775,-0.7019935374770755
2025-04-04 09:56:00+05:30,6628875,9460650,-0.7006786003075899
2025-04-04 09:57:00+05:30,6698025,9509475,-0.704352763953846
2025-04-04 09:58:00+05:30,6695925,9505125,-0.7044541760366119
2025-04-04 09:59:00+05:30,6697800,9503550,-0.7047682181921493
2025-04-04 10:00:00+05:30,6763425,9557400,-0.7076636951472157
2025-04-04 10:01:00+05:30,6762600,9556800,-0.7076217980914113
2025-04-04 10:02:00+05:30,6762600,9556875,-0.7076162448499117
2025-04-04 10:03:00+05:30,6761625,9577950,-0.7059574334800244
2025-04-04 10:04:00+05:30,6758025,9575025,-0.7057971128012721
2025-04-04 10:05:00+05:30,6759000,9586350,-0.7050650143172323
2025-04-04 10:06:00+05:30,6775200,9620025,-0.7042809140308887
2025-04-04 10:07:00+05:30,6770550,9616950,-0.704022585123142
2025-04-04 10:08:00+05:30,6773850,9604575,-0.7052732682081195
2025-04-04 10:09:00+05:30,6808800,9646050,-0.7058640583451258
2025-04-04 10:10:00+05:30,6809475,9645675,-0.7059614801452464
2025-04-04 10:11:00+05:30,6810375,9647250,-0.7059395164425095
2025-04-04 10:12:00+05:30,6814950,9716400,-0.7013863159194763
2025-04-04 10:13:00+05:30,6816525,9713325,-0.701770505980187
2025-04-04 10:14:00+05:30,6821925,9713325,-0.7023264433136953
2025-04-04 10:15:00+05:30,6836175,9729900,-0.702594579594857
2025-04-04 10:16:00+05:30,6835125,9750150,-0.7010276764972847
2025-04-04 10:17:00+05:30,6831900,9738300,-0.701549551769816
