timestamp,Call oi,Put oi,Inverse OI_ratio
2025-05-06 09:15:00+05:30,30882750,44980500,-0.6865808517024043
2025-05-06 09:16:00+05:30,31940475,47005875,-0.6794996370134584
2025-05-06 09:17:00+05:30,32161950,47474700,-0.6774545178800498
2025-05-06 09:18:00+05:30,32477250,48278550,-0.6727055804285754
2025-05-06 09:19:00+05:30,32476500,48432900,-0.6705462609094232
2025-05-06 09:20:00+05:30,32782275,48507975,-0.6758120700771368
2025-05-06 09:21:00+05:30,32789925,48557625,-0.6752785993960784
2025-05-06 09:22:00+05:30,32789625,48853725,-0.6711796285748938
2025-05-06 09:23:00+05:30,32802225,48854475,-0.6714272336362227
2025-05-06 09:24:00+05:30,32800425,48927150,-0.6703931252893333
2025-05-06 09:25:00+05:30,32804250,48934725,-0.6703675150928099
2025-05-06 09:26:00+05:30,33132075,48934575,-0.677068820971675
2025-05-06 09:27:00+05:30,33863700,48974250,-0.6914592872785188
2025-05-06 09:28:00+05:30,34122675,48974250,-0.6967472702491615
2025-05-06 09:29:00+05:30,34122750,48974025,-0.6967520027198091
2025-05-06 09:30:00+05:30,34168970,49015800,-0.6971011388164633
2025-05-06 09:31:00+05:30,34287375,49015650,-0.6995189291583402
2025-05-06 09:32:00+05:30,34287450,49015500,-0.6995225999938794
2025-05-06 09:33:00+05:30,34333275,49040550,-0.7000997134004411
2025-05-06 09:34:00+05:30,34337250,49048500,-0.7000672803449647
2025-05-06 09:35:00+05:30,34378200,49050075,-0.7008796622635134
2025-05-06 09:36:00+05:30,34410825,49069050,-0.70127351151082
2025-05-06 09:37:00+05:30,34457850,49068300,-0.7022425883920984
2025-05-06 09:38:00+05:30,34458450,49068450,-0.7022526694851784
2025-05-06 09:39:00+05:30,34467300,49095300,-0.7020488722953113
2025-05-06 09:40:00+05:30,34468950,49092375,-0.7021243115656963
2025-05-06 09:41:00+05:30,34472100,49094625,-0.7021562951137726
2025-05-06 09:42:00+05:30,35038050,49346700,-0.7100383612278025
2025-05-06 09:43:00+05:30,35037975,49347975,-0.710018496199692
2025-05-06 09:44:00+05:30,35038575,49357200,-0.7098979480197418
2025-05-06 09:45:00+05:30,35064675,49391625,-0.7099315926536128
2025-05-06 09:46:00+05:30,35065050,49392825,-0.7099219370424753
2025-05-06 09:47:00+05:30,35064525,49392000,-0.7099231656948494
2025-05-06 09:48:00+05:30,35082225,49449075,-0.7094617037831344
2025-05-06 09:49:00+05:30,35087925,49457775,-0.7094521538827818
2025-05-06 09:50:00+05:30,35086425,49457400,-0.7094272040180034
2025-05-06 09:51:00+05:30,35088975,49589700,-0.7075859503082294
2025-05-06 09:52:00+05:30,35092875,49588050,-0.7076881426069386
2025-05-06 09:53:00+05:30,35092350,49589550,-0.7076561493298488
2025-05-06 09:54:00+05:30,35073300,49623000,-0.7067952360800436
2025-05-06 09:55:00+05:30,35071425,49622400,-0.7067659968078932
2025-05-06 09:56:00+05:30,35071950,49622400,-0.7067765767072934
2025-05-06 09:57:00+05:30,35070900,49664400,-0.7061577306883804
2025-05-06 09:58:00+05:30,35068875,49664250,-0.7061190896872499
2025-05-06 09:59:00+05:30,35184900,49664250,-0.7084552771863061
2025-05-06 10:00:00+05:30,35198400,49729875,-0.7077918454450167
2025-05-06 10:01:00+05:30,35197575,49736325,-0.7076834687725722
2025-05-06 10:02:00+05:30,35202900,49739100,-0.7077510449525625
2025-05-06 10:03:00+05:30,35221425,49753125,-0.7079238741285095
2025-05-06 10:04:00+05:30,35225850,49753350,-0.7080096114131008
2025-05-06 10:05:00+05:30,35223075,49755300,-0.707926090285859
2025-05-06 10:06:00+05:30,35235750,49769850,-0.707973803417129
2025-05-06 10:07:00+05:30,35235900,49776600,-0.7078808114656284
2025-05-06 10:08:00+05:30,35357400,49776300,-0.7103259985173667
2025-05-06 10:09:00+05:30,35404950,49785675,-0.7111473330430892
2025-05-06 10:10:00+05:30,35411100,49788900,-0.7112247910678886
2025-05-06 10:11:00+05:30,35411175,49789125,-0.7112230833540457
2025-05-06 10:12:00+05:30,35426475,49747050,-0.7121321766818334
2025-05-06 10:13:00+05:30,35431500,49759350,-0.7120571309713651
2025-05-06 10:14:00+05:30,35431350,49754400,-0.7121249577926776
2025-05-06 10:15:00+05:30,35431275,49755675,-0.7121052020699147
2025-05-06 10:16:00+05:30,35431500,49756050,-0.7121043571585767
2025-05-06 10:17:00+05:30,35431350,49755600,-0.7121077828425343
2025-05-06 10:18:00+05:30,35483250,49788375,-0.7126814241276201
2025-05-06 10:19:00+05:30,35488125,49762200,-0.7131542616684954
2025-05-06 10:20:00+05:30,35486925,49788900,-0.712747720877545
2025-05-06 10:21:00+05:30,35481825,49787400,-0.712666759059521
2025-05-06 10:22:00+05:30,35482575,49794375,-0.7125819934480552
2025-05-06 10:23:00+05:30,35481750,49800375,-0.7124795747019977
2025-05-06 10:24:00+05:30,35489400,49812450,-0.7124604391070907
2025-05-06 10:25:00+05:30,35495250,49819575,-0.712475969536071
2025-05-06 10:26:00+05:30,35494725,49810125,-0.7126006007814676
2025-05-06 10:27:00+05:30,35484075,49814700,-0.7123213629711712
2025-05-06 10:28:00+05:30,35493375,49826400,-0.7123407470738403
2025-05-06 10:29:00+05:30,35493675,49826475,-0.7123456957370554
2025-05-06 10:30:00+05:30,35494650,49810200,-0.7125980220918607
2025-05-06 10:31:00+05:30,35494125,49815375,-0.7125134559360439
2025-05-06 10:32:00+05:30,35493300,49814850,-0.7125044038072984
2025-05-06 10:33:00+05:30,35580675,49808250,-0.7143530439234465
2025-05-06 10:34:00+05:30,35587725,49810575,-0.714461236394079
2025-05-06 10:35:00+05:30,35587500,49806750,-0.714511587284856
2025-05-06 10:36:00+05:30,35605350,49817475,-0.7147160710172484
2025-05-06 10:37:00+05:30,35603775,49819275,-0.7146586336312601
2025-05-06 10:38:00+05:30,35605875,49818750,-0.7147083176514867
2025-05-06 10:39:00+05:30,35672475,49855050,-0.7155238035063649
2025-05-06 10:40:00+05:30,35684550,49841925,-0.715954490120516
2025-05-06 10:41:00+05:30,35690400,49842000,-0.7160707836764175
2025-05-06 10:42:00+05:30,35690925,49855125,-0.7158927993862215
2025-05-06 10:43:00+05:30,35685375,49853025,-0.7158116282813329
