timestamp,Call oi,Put oi,Inverse OI_ratio
2025-05-14 09:15:00+05:30,39250500,45380850,-0.8649132839071988
2025-05-14 09:16:00+05:30,41804625,52558575,-0.7953911421685234
2025-05-14 09:17:00+05:30,42977475,53370300,-0.8052695038251612
2025-05-14 09:18:00+05:30,43543500,54039000,-0.8057791594959196
2025-05-14 09:19:00+05:30,43600200,54220650,-0.8041253655203322
2025-05-14 09:20:00+05:30,43798950,54273975,-0.8069972763188987
2025-05-14 09:21:00+05:30,43657950,54214725,-0.8052784552536234
2025-05-14 09:22:00+05:30,43833825,54250200,-0.8079937954145792
2025-05-14 09:23:00+05:30,43836225,54408525,-0.8056867007513988
2025-05-14 09:24:00+05:30,43685400,54468150,-0.802035685074672
2025-05-14 09:25:00+05:30,43757025,54507975,-0.8027637240238699
2025-05-14 09:26:00+05:30,43838400,54514950,-0.8041537229695708
2025-05-14 09:27:00+05:30,43914600,54547200,-0.8050752375923971
2025-05-14 09:28:00+05:30,43916175,54542550,-0.8051727504489614
2025-05-14 09:29:00+05:30,43925775,54543075,-0.805341008001474
2025-05-14 09:30:00+05:30,44460900,54708675,-0.8126846427920252
2025-05-14 09:31:00+05:30,44472450,54722775,-0.8126863083971892
2025-05-14 09:32:00+05:30,44472075,54722775,-0.812679455674534
2025-05-14 09:33:00+05:30,44476200,54779025,-0.8119202559738878
2025-05-14 09:34:00+05:30,44484225,54783225,-0.812004495901802
2025-05-14 09:35:00+05:30,44484675,54813375,-0.8115660639396862
2025-05-14 09:36:00+05:30,44552775,54839700,-0.81241828456392
2025-05-14 09:37:00+05:30,44556375,54845025,-0.812405044942545
2025-05-14 09:38:00+05:30,44556525,54846375,-0.8123877831488407
2025-05-14 09:39:00+05:30,44687325,55004775,-0.8124262848089098
2025-05-14 09:40:00+05:30,44686950,55044075,-0.8118394214091162
2025-05-14 09:41:00+05:30,44691825,55042725,-0.8119479004718607
2025-05-14 09:42:00+05:30,44917275,55273950,-0.8126300906665799
2025-05-14 09:43:00+05:30,44922450,55271175,-0.8127645196614691
2025-05-14 09:44:00+05:30,44922300,55271550,-0.8127562914374574
2025-05-14 09:45:00+05:30,45050400,55393350,-0.8132817386924603
2025-05-14 09:46:00+05:30,45047475,55389525,-0.8132850931651788
2025-05-14 09:47:00+05:30,45047250,55387800,-0.8133063598843067
2025-05-14 09:48:00+05:30,44914350,55320750,-0.8118897520369843
2025-05-14 09:49:00+05:30,44902200,55330425,-0.8115281962862204
2025-05-14 09:50:00+05:30,45172875,55332675,-0.8163869720739148
2025-05-14 09:51:00+05:30,45171750,55232175,-0.8178520943634756
2025-05-14 09:52:00+05:30,45211500,55240500,-0.8184484209954653
2025-05-14 09:53:00+05:30,45212475,55240500,-0.8184660710891466
2025-05-14 09:54:00+05:30,45352725,55228050,-0.8211900474487149
2025-05-14 09:55:00+05:30,45449475,55221525,-0.8230391138238214
2025-05-14 09:56:00+05:30,45451650,55219275,-0.8231120383235745
2025-05-14 09:57:00+05:30,45364350,55186500,-0.8220189720312033
2025-05-14 09:58:00+05:30,45355875,55181400,-0.8219413606758799
2025-05-14 09:59:00+05:30,45353925,55179375,-0.8219361853953583
2025-05-14 10:00:00+05:30,45297900,55164525,-0.821141847953916
2025-05-14 10:01:00+05:30,45291750,55162650,-0.8210582704057908
2025-05-14 10:02:00+05:30,45293775,55161975,-0.8211050275121585
2025-05-14 10:03:00+05:30,45217200,55134750,-0.8201216111436073
2025-05-14 10:04:00+05:30,45219900,55132350,-0.8202062854204474
2025-05-14 10:05:00+05:30,45220200,55132050,-0.8202161900382808
2025-05-14 10:06:00+05:30,45223500,55162275,-0.8198265934463362
2025-05-14 10:07:00+05:30,45221175,55192425,-0.8193366209221646
2025-05-14 10:08:00+05:30,45220425,55196325,-0.8192651412933741
2025-05-14 10:09:00+05:30,45153975,55239600,-0.8174203832033541
2025-05-14 10:10:00+05:30,45153750,55239975,-0.8174107609570787
2025-05-14 10:11:00+05:30,45153525,55238925,-0.8174222253601061
2025-05-14 10:12:00+05:30,45150900,55278225,-0.8167935927754554
2025-05-14 10:13:00+05:30,45151425,55276725,-0.8168252551141552
2025-05-14 10:14:00+05:30,45151350,55281600,-0.8167518668055918
2025-05-14 10:15:00+05:30,45055725,55311675,-0.814578929312844
2025-05-14 10:16:00+05:30,45048000,55308075,-0.8144922780263099
2025-05-14 10:17:00+05:30,45318150,55304325,-0.8194322957562541
2025-05-14 10:18:00+05:30,45306075,55303125,-0.8192317341922359
