timestamp,tradingsymbol,order_price,quantity,type,pnl,realized_pnl
2025-05-19 09:28:00+05:30,BEL,7.25,1,BUY,-7.25,0.0
2025-05-19 09:31:00+05:30,DIVISLAB,104.45,1,BUY,-104.45,0.0
2025-05-19 09:34:00+05:30,DELHIVERY,6.25,1,BUY,-6.25,0.0
2025-05-19 09:54:00+05:30,BEL,5.25,1,SELL,5.25,-2.0
2025-05-19 10:59:00+05:30,DELHIVERY,11.15,1,SELL,11.15,-95.3
2025-05-19 11:04:00+05:30,DIVISLAB,166.05,1,SELL,166.05,64.50000000000001
